il,nufus
Adana,2274106
Adıyaman,635169
Afyonkarahisar,747555
Ağrı,511238
Aksaray,433055
Amasya,338267
Ankara,5782285
Antalya,2688004
Ardahan,92819
Artvin,169403
Aydın,1148241
Balıkesir,1257590
Bartın,200377
Batman,640203
Bayburt,84843
Bilecik,228673
Bingöl,282556
Bitlis,353988
Bolu,323327
Burdur,273716
Bursa,3194720
Çanakkale,562760
Çankırı,196909
Çorum,524130
Denizli,1056332
Diyarbakır,1804880
Düzce,409865
Edirne,414714
Elazığ,604411
Erzincan,239323
Erzurum,749754
Eskişehir,915418
Gaziantep,2154051
Giresun,449509
Gümüşhane,144544
Hakkari,287625
Hatay,1686043
Iğdır,203594
Isparta,445325
İstanbul,15655924
İzmir,4462056
Kahramanmaraş,1177436
Karabük,260151
Karaman,260838
Kars,283230
Kastamonu,378115
Kayseri,1453989
Kilis,144479
Kırıkkale,277046
Kırklareli,378582
Kırşehir,243042
Kocaeli,2102907
Konya,2320241
Kütahya,576688
Malatya,812580
Manisa,1475716
Mardin,870374
Mersin,1916432
Muğla,1066736
Muş,408728
Nevşehir,310011
Niğde,365419
Ordu,763190
Osmaniye,559405
Rize,344016
Sakarya,1098115
Samsun,1368488
Şanlıurfa,2213964
Siirt,331311
Sinop,219733
Şırnak,570745
Sivas,634924
Tekirdağ,1142451
Tokat,594491
Trabzon,816684
Tunceli,82531
Uşak,376424
Van,1128749
Yalova,296333
Yozgat,420699
Zonguldak,591492
